127.0.0.1 - - [08/Sep/2024:03:05:12 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/ HTTP/1.1" 200 18417
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/src/output.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/img/gym1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/img/gym-design-planner-6.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/img/gym-design-planner-1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/img/yoga.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/img/Yoga1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/img/Yoga2.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/img/Yoga3.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/Video/Sony%20A7iii%20Workout%20Hype%20Video(1080P_HD).mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/Video/a%20Cinematic%20Fitness%20Video...SONY%20FX6(4K_HD).webm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/Audio/1.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/Video/Gym%20CINEMATIC%20FITNESS%20Video%20[Sony%20a7IV%20with%2050mm%20f1.2%20GM]%204k(720P_HD).mp4 HTTP/1.1" 400 763
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/Audio/3.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/Video/yoga.webm HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:13 +0530] "GET /Ui/Assets/Video/Yoga2.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:14 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Gym.html HTTP/1.1" 200 22206
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/img/Workout5.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/src/output.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/img/Workout6.avif HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/img/Workout7.webp HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/img/Workout1.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/img/Workout2.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/img/Workout3.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/img/Workout4.jpg HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/Video/Workout1.mp4 HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/Video/Workout2.webm HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/Video/Workout5.webm HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/Video/Workout3.webm HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/Video/Workout4.webm HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:15 +0530] "GET /Ui/Assets/Video/Workout3.webm HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:19 +0530] "GET /Ui/ApplyNow.html HTTP/1.1" 200 18398
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:19 +0530] "GET /Ui/src/output.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:21 +0530] "GET /Ui/Membership.html HTTP/1.1" 200 30034
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:21 +0530] "GET /Ui/src/output.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:23 +0530] "GET /Ui/Supplements.html HTTP/1.1" 200 9745
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:23 +0530] "GET /Ui/src/output.css HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:23 +0530] "GET /Ui/Assets/img/protine.avif HTTP/1.1" 404 790
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:23 +0530] "GET /Ui/Assets/img/Supplement2.jpg HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:23 +0530] "GET /Ui/Assets/img/Supplements3.jpg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:23 +0530] "GET /Ui/Assets/img/creatine.jpeg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:23 +0530] "GET /Ui/Assets/img/BCAA.jpeg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:23 +0530] "GET /Ui/Assets/img/pre-workout.jpeg HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:23 +0530] "GET /Ui/Assets/img/MassGainer.webp HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:23 +0530] "GET /Ui/Assets/img/shilajit.webp HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [08/Sep/2024:03:05:24 +0530] "GET /Ui/src/output.css HTTP/1.1" 404 777
